"","Kansas","Missouri","Nebraska","Arkansas","Oklahoma"
"Jan.01","--","1","2","137","20"
"Feb.01","--","1","2","126","19"
"Mar.01","--","1","2","119","17"
"Apr.01","--","1","2","136","15"
"May.01","--","1","2","69","20"
"Jun.01","--","1","1","88","12"
"Jul.01","--","1","1","98","27"
"Aug.01","--","1","1","158","22"
"Sep.01","--","0","1","136","17"
"Oct.01","--","1","2","161","23"
"Nov.01","--","1","2","142","21"
"Dec.01","40","0","2","143","19"
"Jan.02","46","1","2","172","15"
"Feb.02","47","1","2","137","20"
"Mar.02","47","1","2","128","20"
"Apr.02","47","1","2","142","15"
"May.02","46","1","2","106","11"
"Jun.02","43","1","2","113","22"
"Jul.02","30","1","2","128","25"
"Aug.02","33","1","2","121","21"
"Sep.02","34","1","1","133","21"
"Oct.02","30","1","1","142","24"
"Nov.02","32","1","2","136","21"
"Dec.02","31","1","2","129","24"
"Jan.03","29","1","9","168","24"
"Feb.03","23","1","8","147","17"
"Mar.03","40","1","7","152","26"
"Apr.03","40","1","7","156","23"
"May.03","31","1","7","131","24"
"Jun.03","23","1","7","144","23"
"Jul.03","31","1","9","164","19"
"Aug.03","27","1","9","156","23"
"Sep.03","30","1","8","149","21"
"Oct.03","26","1","8","156","19"
"Nov.03","29","1","8","153","25"
"Dec.03","37","1","9","168","78"
"Jan.04","23","1","6","165","69"
"Feb.04","31","1","6","144","67"
"Mar.04","37","1","6","154","72"
"Apr.04","34","1","6","155","73"
"May.04","43","1","6","134","100"
"Jun.04","26","1","6","150","61"
"Jul.04","23","1","6","160","63"
"Aug.04","23","1","6","153","60"
"Sep.04","34","1","6","140","63"
"Oct.04","28","1","6","164","62"
"Nov.04","26","1","6","149","66"
"Dec.04","30","1","6","142","64"
"Jan.05","18","1","3","148","57"
"Feb.05","19","1","5","130","60"
"Mar.05","33","1","7","147","75"
"Apr.05","36","1","6","145","123"
"May.05","30","1","7","137","100"
"Jun.05","35","1","6","141","118"
"Jul.05","32","1","6","145","91"
"Aug.05","17","1","5","143","79"
"Sep.05","36","1","7","145","102"
"Oct.05","28","1","27","158","98"
"Nov.05","36","1","31","145","105"
"Dec.05","105","1","30","150","129"
"Jan.06","88","1","32","158","198"
"Feb.06","67","1","25","138","154"
"Mar.06","94","1","27","143","190"
"Apr.06","97","1","28","121","194"
"May.06","66","3","25","131","169"
"Jun.06","69","2","20","135","149"
"Jul.06","63","3","24","151","149"
"Aug.06","54","3","23","148","116"
"Sep.06","79","2","23","141","135"
"Oct.06","105","3","28","149","180"
"Nov.06","102","3","29","152","189"
"Dec.06","108","3","30","155","185"
"Jan.07","97","3","36","148","168"
"Feb.07","93","2","20","133","187"
"Mar.07","113","3","27","146","205"
"Apr.07","105","2","23","131","198"
"May.07","98","2","22","140","169"
"Jun.07","63","2","22","123","137"
"Jul.07","63","2","21","129","113"
"Aug.07","91","3","17","139","189"
"Sep.07","101","2","19","132","177"
"Oct.07","135","3","23","125","235"
"Nov.07","103","2","25","142","187"
"Dec.07","90","2","24","136","162"
"Jan.08","137","14","26","137","249"
"Feb.08","121","10","22","127","192"
"Mar.08","150","17","23","132","230"
"Apr.08","183","22","28","136","252"
"May.08","167","20","23","126","236"
"Jun.08","124","18","17","112","214"
"Jul.08","133","19","20","121","196"
"Aug.08","93","15","20","133","116"
"Sep.08","124","25","19","117","155"
"Oct.08","166","37","19","129","227"
"Nov.08","164","16","25","126","219"
"Dec.08","198","33","32","118","265"
"Jan.09","220","31","28","143","229"
"Feb.09","218","29","21","128","228"
"Mar.09","275","43","45","146","290"
"Apr.09","270","67","50","140","298"
"May.09","237","47","44","128","197"
"Jun.09","193","30","25","115","221"
"Jul.09","169","30","28","135","186"
"Aug.09","224","43","37","137","223"
"Sep.09","159","34","42","132","168"
"Oct.09","305","75","44","128","271"
"Nov.09","278","77","47","132","286"
"Dec.09","314","68","39","122","333"
"Jan.10","238","53","41","123","266"
"Feb.10","194","52","34","120","214"
"Mar.10","372","81","48","140","429"
"Apr.10","366","77","47","133","439"
"May.10","288","95","45","130","323"
"Jun.10","288","73","31","129","394"
"Jul.10","251","63","34","149","293"
"Aug.10","263","72","37","137","292"
"Sep.10","292","92","36","134","340"
"Oct.10","299","107","42","142","329"
"Nov.10","350","140","44","142","439"
"Dec.10","258","82","55","146","403"
"Jan.11","283","97","65","139","380"
"Feb.11","325","110","101","126","478"
"Mar.11","333","112","95","140","560"
"Apr.11","362","150","106","139","558"
"May.11","361","117","108","129","570"
"Jun.11","364","105","91","146","577"
"Jul.11","239","64","69","151","361"
"Aug.11","211","53","58","140","366"
"Sep.11","223","74","64","140","371"
"Oct.11","361","111","102","131","529"
"Nov.11","390","144","129","144","657"
"Dec.11","329","103","128","143","512"
"Jan.12","421","139","137","138","732"
"Feb.12","331","117","109","137","566"
"Mar.12","393","140","120","133","787"
"Apr.12","363","114","110","141","663"
"May.12","429","121","109","141","756"
"Jun.12","471","107","108","128","710"
"Jul.12","360","70","87","138","597"
"Aug.12","332","67","90","141","484"
"Sep.12","326","69","85","132","547"
"Oct.12","466","119","119","133","828"
"Nov.12","669","121","125","145","865"
"Dec.12","690","114","147","154","987"
"Jan.13","732","127","157","151","917"
"Feb.13","691","126","148","135","858"
"Mar.13","794","125","165","127","1034"
"Apr.13","891","116","163","130","1157"
"May.13","874","108","161","139","1101"
"Jun.13","821","98","123","144","1034"
"Jul.13","640","64","108","140","804"
"Aug.13","603","57","114","142","712"
"Sep.13","869","84","156","128","799"
"Oct.13","998","109","175","115","1157"
"Nov.13","850","129","216","124","1071"
"Dec.13","729","99","185","126","864"
"Jan.14","1043","149","231","119","1205"
"Feb.14","782","91","173","120","773"
"Mar.14","1128","138","216","132","1209"
"Apr.14","1144","134","229","129","1280"
"May.14","804","100","230","124","978"
"Jun.14","919","92","206","123","1124"
"Jul.14","776","75","190","135","811"
"Aug.14","736","60","131","130","810"
"Sep.14","845","70","231","107","905"
"Oct.14","817","111","285","129","931"
"Nov.14","1080","144","380","136","1217"
"Dec.14","830","91","299","145","1032"
"Jan.15","927","126","334","130","1083"
"Feb.15","829","101","288","126","1107"
"Mar.15","833","105","288","116","966"
"Apr.15","1002","111","287","117","1257"
"May.15","921","95","266","125","1167"
"Jun.15","818","72","192","120","1142"
"Jul.15","743","56","175","130","1165"
"Aug.15","703","56","222","113","979"
"Sep.15","995","97","277","103","1322"
"Oct.15","884","97","275","119","1091"
"Nov.15","1158","137","325","127","1617"
"Dec.15","1250","127","322","117","1473"
"Jan.16","1066","112","317","116","1455"
"Feb.16","1308","132","317","128","1793"
"Mar.16","1428","130","354","130","2021"
"Apr.16","1304","145","396","107","1762"
"May.16","1108","79","273","93","1736"
"Jun.16","988","83","269","106","1405"
"Jul.16","1081","77","225","116","1756"
"Aug.16","890","71","219","120","1266"
"Sep.16","1143","102","303","112","1524"
"Oct.16","1401","115","345","112","2096"
"Nov.16","1227","118","340","126","1750"
"Dec.16","1227","132","543","131","1872"
"Jan.17","1412","156","442","128","1974"
"Feb.17","1431","186","475","112","2105"
"Mar.17","1894","200","500","117","2478"
"Apr.17","1958","197","473","120","2328"
"May.17","1664","181","443","117","1905"
"Jun.17","1515","162","385","128","1962"
"Jul.17","1200","121","296","125","1496"
"Aug.17","927","100","251","122","1011"
"Sep.17","1558","149","405","116","1874"
"Oct.17","1802","208","519","125","2597"
"Nov.17","1585","280","468","128","2068"
"Dec.17","1715","293","539","129","2133"
"Jan.18","1766","312","570","129","2744"
