"","Kansas","Missouri","Nebraska","Arkansas","Oklahoma"
"Jan.01","4108","7120","2899","3903","4491"
"Feb.01","3274","6216","2425","3372","4033"
"Mar.01","3340","5891","2250","3125","3808"
"Apr.01","3246","5097","2084","3350","3612"
"May.01","3758","5472","2497","3691","4346"
"Jun.01","3898","6802","2669","4133","5038"
"Jul.01","4454","8057","2984","4564","6375"
"Aug.01","4406","8225","2966","4539","6188"
"Sep.01","3640","6662","2712","4220","4662"
"Oct.01","3511","6560","2634","4087","4454"
"Nov.01","3250","6502","2138","3627","4051"
"Dec.01","3863","6941","2229","4581","4195"
"Jan.02","4149","6872","2684","4225","4672"
"Feb.02","3718","5140","2570","3761","4145"
"Mar.02","3421","6217","2456","3131","4566"
"Apr.02","3074","5911","2446","3795","4523"
"May.02","3369","6068","2130","3499","4768"
"Jun.02","4125","7502","2696","4121","5534"
"Jul.02","4698","8195","3135","4755","6475"
"Aug.02","4542","8147","2876","4927","6747"
"Sep.02","4066","7065","2573","4528","5355"
"Oct.02","4037","6351","2526","3668","4282"
"Nov.02","3940","6147","2674","3549","3861"
"Dec.02","4050","7547","2853","3653","4256"
"Jan.03","4314","7839","2874","3934","4776"
"Feb.03","3565","7077","2497","3641","4255"
"Mar.03","3785","6779","2238","3576","4255"
"Apr.03","3606","5701","1950","3461","4493"
"May.03","3714","6603","2159","4017","4900"
"Jun.03","3918","7443","2249","4976","5477"
"Jul.03","4717","8724","3071","5308","7143"
"Aug.03","4559","8895","3008","5193","7231"
"Sep.03","3671","6735","2514","4325","4814"
"Oct.03","3508","6622","2407","3876","4609"
"Nov.03","2939","6925","2649","4030","3789"
"Dec.03","4270","7881","2839","4065","4885"
"Jan.04","4254","7954","2887","4518","4931"
"Feb.04","3669","6517","2621","3942","4800"
"Mar.04","3581","7160","2501","3848","4280"
"Apr.04","3481","6468","2435","3367","4240"
"May.04","4047","6515","2274","4021","5005"
"Jun.04","3965","7048","2451","4863","5369"
"Jul.04","4275","8480","2865","5324","6750"
"Aug.04","4116","8138","2966","4947","6266"
"Sep.04","3917","7608","2815","4334","5763"
"Oct.04","3561","6886","2629","3999","4621"
"Nov.04","3699","7195","2658","4092","4249"
"Dec.04","4218","7663","2907","4673","4456"
"Jan.05","4166","8276","2560","4577","5082"
"Feb.05","3263","7507","1945","4120","4488"
"Mar.05","3592","7226","2619","3230","5011"
"Apr.05","2925","6996","2128","3327","4427"
"May.05","3220","7498","2056","4113","5604"
